referencia,descricao,gaveta,dataRetirada,horaRetirada,dataDevolucao,horaDevolucao,usuario,setor
44130030,Chave de fenda ponta chata 6x100 - 1/4x4,1,30/05/2023,10:16,30/05/2023,16:49,Administrador,Admin
44130030,Chave de fenda ponta chata 6x100 - 1/4x4,1,30/05/2023,10:16,30/05/2023,16:49,Administrador,Admin
44135021,Chave de fenda ponta cruzada 5x100 - 3/16x4,1,30/05/2023,10:16,30/05/2023,16:49,Administrador,Admin
44135031,Chave de fenda ponta cruzada 6x150 - 1/4x6,1,30/05/2023,10:16,30/05/2023,16:49,Administrador,Admin
44810109,Soquete estriado 1/4 - 1/2,1,30/05/2023,10:16,30/05/2023,16:50,Administrador,Admin
44827104,Adaptador 3/8 para 1/4,2,30/05/2023,10:17,30/05/2023,16:52,Administrador,Admin
44801101,Adaptador 1/4 para 3/8,2,30/05/2023,10:17,30/05/2023,16:52,Administrador,Admin
44812108,Soquete ponta hexagonal 3/8 8mm,2,30/05/2023,10:17,30/05/2023,16:52,Administrador,Admin
44812107,Soquete ponta hexagonal 3/8 7mm,2,30/05/2023,10:17,30/05/2023,16:52,Administrador,Admin
44812106,Soquete ponta hexagonal 3/8 6mm,2,30/05/2023,10:17,30/05/2023,16:52,Administrador,Admin
44812105,Soquete ponta hexagonal 3/8 5mm,2,30/05/2023,10:17,30/05/2023,16:52,Administrador,Admin
44812104,Soquete ponta hexagonal 3/8 4mm,2,30/05/2023,10:17,30/05/2023,16:52,Administrador,Admin
44812103,Soquete ponta hexagonal 3/8 3mm,2,30/05/2023,10:17,30/05/2023,16:52,Administrador,Admin
44808108,Soquete sextavado longo 1/4 - 7/16,2,30/05/2023,10:17,30/05/2023,16:52,Administrador,Admin
44808105,Soquete sextavado longo 1/4 - 5/16,2,30/05/2023,10:17,30/05/2023,16:52,Administrador,Admin
44806103,Soquete sextavado 1/4 - 1/4,2,30/05/2023,10:17,30/05/2023,16:52,Administrador,Admin
44670111,Chave combinada 7/8,4,30/05/2023,10:18,30/05/2023,16:53,Administrador,Admin
44060101,Alicate para arame de segurança 9,4,30/05/2023,10:18,30/05/2023,16:53,Administrador,Admin
44670110,Chave combinada 13/16,4,30/05/2023,10:18,30/05/2023,16:53,Administrador,Admin
44004181,Alicate meia cana curvo dupla injeção,4,30/05/2023,10:18,30/05/2023,16:53,Administrador,Admin
44670115,Chave combinada 1.1/8,4,30/05/2023,10:18,30/05/2023,16:53,Administrador,Admin
44003106,Alicate diagonal 6,4,30/05/2023,10:18,30/05/2023,16:53,Administrador,Admin
44804100,Catraca 1/4 6,4,30/05/2023,10:18,30/05/2023,16:53,Administrador,Admin
44826108,Catraca 3/8 8,4,30/05/2023,10:18,30/05/2023,16:53,Administrador,Admin
44801101,Adaptador 1/4 para 3/8,8,30/05/2023,10:21,30/05/2023,16:54,Administrador,Admin
44827104,Adaptador 3/8 para 1/4,8,30/05/2023,10:21,30/05/2023,16:54,Administrador,Admin
44808103,Soquete sextavado longo 1/4 - 1/4,8,30/05/2023,10:21,30/05/2023,16:54,Administrador,Admin
44809105,Soquete estriado 1/4 5mm,4,30/05/2023,10:18,30/05/2023,16:55,Administrador,Admin
44809155,Soquete estriado 1/4 5.5mm,4,30/05/2023,10:18,30/05/2023,16:55,Administrador,Admin
44808103,Soquete sextavado longo 1/4 - 1/4,4,30/05/2023,10:18,30/05/2023,16:55,Administrador,Admin
44808108,Soquete sextavado longo 1/4 - 7/16,4,30/05/2023,10:18,30/05/2023,16:55,Administrador,Admin
44808107,Soquete sextavado longo 1/4 - 3/8,4,30/05/2023,10:18,30/05/2023,16:55,Administrador,Admin
44808105,Soquete sextavado longo 1/4 - 5/16,4,30/05/2023,10:18,30/05/2023,16:55,Administrador,Admin
44801101,Adaptador 1/4 para 3/8,6,30/05/2023,10:19,30/05/2023,16:56,Administrador,Admin
44827104,Adaptador 3/8 para 1/4,6,30/05/2023,10:19,30/05/2023,16:56,Administrador,Admin
44806103,Soquete sextavado 1/4 - 1/4,6,30/05/2023,10:19,30/05/2023,16:56,Administrador,Admin
44869109,Soquete estriado longo 3/8 - 7/8,6,30/05/2023,10:19,30/05/2023,16:56,Administrador,Admin
44804100,Catraca 1/4 6,6,30/05/2023,10:19,30/05/2023,16:56,Administrador,Admin
44804104,Extensão 1/4 4,6,30/05/2023,10:19,30/05/2023,16:56,Administrador,Admin
44222008,Alicate universal CuBe 8,6,30/05/2023,10:19,30/05/2023,16:56,Administrador,Admin
44223106,Alicate corte diagonal CuBe 6,6,30/05/2023,10:19,30/05/2023,16:56,Administrador,Admin
44641103,Chave catraca 9/16x5/8 - 11/16x3/4,6,30/05/2023,10:19,30/05/2023,16:56,Administrador,Admin
